system:index,NDVI,VH,VV,soil_moisture,.geo
70,0.19682378780199358,-16.277370832738274,-8.579447906925619,7.557322025299072,"{""type"":""Point"",""coordinates"":[77.91840167457681,19.28113308512294]}"
71,0.20827684799487314,-16.74678637447447,-9.681580437262532,3.945070266723633,"{""type"":""Point"",""coordinates"":[73.88157268985283,18.16007360138993]}"
72,0.17701458657362645,-18.18487801223579,-10.45279792538635,4.157379627227783,"{""type"":""Point"",""coordinates"":[74.18751156729037,17.795398290015545]}"
73,0.18315563761987017,-18.163024194688607,-10.587804397604756,4.437740325927734,"{""type"":""Point"",""coordinates"":[73.87436282285329,19.537055524331063]}"
74,0.25526037975964944,-17.08192993487452,-10.019023419749738,5.856937885284424,"{""type"":""Point"",""coordinates"":[74.4436414456836,19.855306116608173]}"
75,0.26614344112777244,-17.282526315493186,-9.655469686946306,6.050182342529297,"{""type"":""Point"",""coordinates"":[77.48469531900363,17.628062493028608]}"
76,0.2036426440571518,-17.336600357038716,-9.578461170898894,6.675337314605713,"{""type"":""Point"",""coordinates"":[75.33164537433224,21.099869559602602]}"
77,-0.017404950424423977,-28.193766387542023,-20.805868671916926,25.399999618530273,"{""type"":""Point"",""coordinates"":[73.16695150071892,17.13716313872395]}"
78,0.14989980320090582,-19.11615754566705,-11.462909333442795,5.500342845916748,"{""type"":""Point"",""coordinates"":[75.05549341522908,17.514959131719408]}"
79,0.23454684067904083,-17.21203478153499,-9.038852232678412,6.953174114227295,"{""type"":""Point"",""coordinates"":[76.87839774162394,20.1032510526829]}"
80,0.2783329789496066,-15.971484140901195,-8.448857309405271,7.647068500518799,"{""type"":""Point"",""coordinates"":[73.24379321779003,18.52095840211435]}"
81,0.23324637941890797,-18.137057150573163,-9.82808105876485,6.166658878326416,"{""type"":""Point"",""coordinates"":[76.86446229979232,17.682998998364937]}"
82,0.35295337173526414,-15.500307729039923,-7.5659218514068,5.665676116943359,"{""type"":""Point"",""coordinates"":[75.18843320468694,18.213235928070162]}"
83,0.1977602927462693,-17.014451083603088,-9.23644652261699,5.974351406097412,"{""type"":""Point"",""coordinates"":[76.88290801848777,17.604006676309915]}"
84,0.26400844199894474,-17.035649279880307,-9.298242524292581,5.399296760559082,"{""type"":""Point"",""coordinates"":[74.22022013901497,20.059229928095906]}"
85,0.17363137332476142,-17.045397965828254,-9.07140698382844,6.125200271606445,"{""type"":""Point"",""coordinates"":[76.49210923821927,18.104002179190033]}"
86,0.2060489974148439,-17.89285194042343,-10.948806925285236,6.108400344848633,"{""type"":""Point"",""coordinates"":[77.4789965630573,17.07474186819241]}"
87,0.23745633718105905,-17.16862990322796,-8.892423902594166,7.0044660568237305,"{""type"":""Point"",""coordinates"":[77.28532511953837,20.3763448969769]}"
88,0.0012405548663584332,-26.913212401333446,-21.069106759996245,0.0,"{""type"":""Point"",""coordinates"":[73.047836370075,17.12808238848602]}"
